Header2,header3,header4
17,GR,RESERVE PERSONNEL NOT ON ACTIVE DUTY ARE LIMITED TO RA DAYS AVAILABLE EQUAL TO ZERO ONLY.
17,GS,REPORTED RESPITE ABSENCE BALANCE MUST BE NUMERIC.
17,GT,RESPITE ABSENCE REPORTED CAN NOT BE GREATER THAN 24 DAYS PER PERIOD OF MOBILIZATION.
19,AA,TRANSACTION-REPORTING-UNIT-CD NOT VALID FOR MEMBER.
19,AB,PRESENT REPORTING UNIT CODE NOT VALID.
20,LF,EOS CANNOT BE AUTOMATICALLY GENERATED. SUBMIT EOS IAW MCTFSPRIM.
20,LG,MASTER RECORD INDICATES POSSIBLE NEED TO ADJUST CAREER SEA DUTY FOR TIME LOST PURPOSES.
20,LH,NO CHANGE TO PEBD. VERIFY PEBD AND MANUALLY UPDATE.
20,LK,REPORTED DELETE DATES DO NOT EQUAL REPORTED DATES OF ORIGINAL ENTRY. DATES MUST BE EQUAL.
20,LM,MEMBER HAS A PERIOD OF TIME LOST REPORTED. RETIREMENT PTS CANNOT BE ADJUSTED. CONTACT MISSO.
20,BC,COULD NOT DETERMINE ENTITLEMENT TO CONUS COLA AS CURR ACDU BEGAN DATE IS ZEROS.  RPT CADBD AND VERIFY ENT TO CONUS COLA.
20,BD,MEMBER CURRENTLY IN ISL STATUS.  REPORT TRANSACTION WITH  FR ISL .
20,BF,EFT SELECT INDICATOR MISSING.  VALUE 'F' ASSIGNED TO ACCESSION/JOIN RECORD.
20,BH,TRANSACTION CAN ONLY BE INPUT BY RUC 88900 OR ARUC 46521.
20,BI,"""JOIN STATEMENT RPTD IS NOT COMPATIBLE W/RECORD STATUS"
20,BJ,MBR JD APL/ADMIN SEP LV. CHG NOT ACCEPTED. MR NOT IN APL/ADMIN SEP STATUS.
20,BK,ACTIVE DUTY JOIN CANNOT BE DONE ON MEMBER WHILE MEMBER IS ACTIVE IN THE RESERVES.
20,BL,TRANSACTION VALID FOR OFFICERS ONLY.
20,BM,MEMBER HAS BEEN JOINED TO HOSPITAL.  VERIFY AND REPORT TTC 157 DUTY LIMITATION.
20,BN,MBR JOINED FR UA. CHG NOT ACCEPTED. MBR IN UA STATUS.
20,BO,REPORTED RESERVE JOIN DATE IS PRIOR TO THE MEMBER'S RESERVE DRILL/ACDUTRNG/ABSENCE PERIOD. CONTACT MISSO FOR ASSISTANCE.
20,BP,REPORTED SCHOOL CODE INVALID.  REPORT STRT SCHOOL ENTRY WITH CORRECT SCHOOL CODE.
20,BQ,EFT SELECT INDICATOR MISSING.  VALUE 'M' ASSIGNED TO ACCESSION/JOIN RECORD.
20,BR,EFT SELECT INDICATOR MISSING.  VALUE 'N' ASSIGNED TO ACCESSION/JOIN RECORD.
20,BS,POTENTIAL OFF COMP 2O OR C8 MUST HAVE ACCEPT APPT PROCESSED PRIOR TO INITIAL JD.
20,BT,MBR COMP CODE IS KP.  INITIAL JOIN CAN ONLY BE ENTERED BY RUC 30382.
20,BU,TRANSACTION NOT PROCESSED.  MBR JOINED IN ANOTHER UNIT W/ED GREATER THAN REPORTED ED. RESEARCH AND RESUBMIT.
20,BV,CENTRAL MASTER RECORD IN SEPARATION STATUS.
20,BW,MASTER RECORD NOT REPORTED IN DESERTION STATUS.
20,BX,ED ERROR.  MBR CANNOT BE JOINED FROM DES PRIOR TO GOING TO DES.
20,BY,"""TRANSACTION NOT VALID FOR MEMBERS WITH COMP CODE 'C9'"
20,BZ,SEQ NOT VAL FOR AERO DESG OFFICERS.  REPORT DIFDEN/DIFOP JOIN AS APPROP.
20,CA,SEQUENCE INTENDED FOR AERONAUTICALLY DESIGNATED OFFICERS ONLY.  MBR JD FOR DU.
20,CC,COULD NOT DETERMINE ENTITLEMENT TO CONUS COLA AS CURR ACDU BEGAN DATE IS ZEROS. RPT CADBD AND VERIFY ENT TO CONUS COLA.
20,CD,TRANSACTION FOR NAV ACAD/NROTC RUC 86974 ONLY.
20,CE,INVALID JOIN ENTRY FOR RUC 86974.
20,DQ,ESTIMATED DEPARTURE DATE OF ZEROS NOT VALID.
20,HU,REPORTING UNIT CODE MUST EQUAL 30382 OR 46252 TO REPORT THIS TRANSACTION.
20,HV,CENTRAL MASTER RECORD IN DESERTION STATUS.  MBR MUST BE JOINED FROM DESERTION.
20,HW,REPORTED TIME INVALID.  '0002' HAS BEEN POSTED.
20,HX,INIT JOIN NOT PROCESSED. ACCESSION OR TRANSFER MUST BE REPORTED AND POST PRIOR TO INIT JOIN.
20,HY,NON-MARINE SEQUENCES CAN ONLY BE SUMITTED BY MOL RUCS 54887 OR 54888.
20,DR,ESTIMATED DEPARTURE DATE MUST BE AFTER JOIN DATE AND NOT GREATER THAN 3 YRS
20,EC,SYS GEN BAH.  VERIFY AND CORRECT IF NECESSARY.
20,EL,RES ECC ON MR MUST BE GREATER THAN ACTION DATE.  REPORT CORRECTED RES ECC.
20,EM,REPORT PENSION STATUS IF NOT REPORTED WITH JOIN ENTRY.
20,FA,READY RESERVE AGREEMENT YEARS MUST BE 1 THRU 6.
20,FD,YOU ARE REQUIRED TO COMPLETE TRAINING EVENT CD 'PR' PERS READINESS SEMINAR FIRST PDS OR 'FD' ANNUAL FINANCIAL EDUCATION (PCS) SUBSEQUENT DUTY STATION WITHIN 30 DAYS. CONTACT YOUR INSTALLATION PERSONAL FINANCIAL MANAGEMENT PROGRAM STAFF (PFM) OR YOUR COMMAND FINANCIAL SPECIALIST (CFS) FOR MORE INFO.
20,FG,A TRANSACTION HAS POSTED WHICH AFFECTS LWAS. MEMBERS REQUESTED LWAS BEGIN DATE HAS BEEN CHANGED TO ZEROS.
20,GA,MASTER RECORD REFLECTS MEMBER IS NOT ON ACTIVE DUTY FOR A PORTION/ENTIRE PERIOD REPORTED.  SGLI COULD NOT PROCESS.
20,GB,MASTER RECORD INDICATES MEMBER DOES NOT HAVE AN OPEN SGLI REMARK FOR REPORTED PERIOD.  TRANSACTION COULD NOT TERMINATE SGLI.
20,GC,MASTER RECORD INDICATES MEMBER DOES NOT HAVE AN OPEN TSGLI REMARK FOR REPORTED PERIOD.  TRANSACTION COULD NOT TERMINATE TSGLI.
20,GD,EFFECTIVE DATE OF START CAN NOT BE GREATER THAN TO-DATE OF MOST RECENT SGLI RMK ON FILE.
20,GE,EFFECTIVE DATE OF START CAN NOT BE GREATER THAN TO-DATE OF MOST RECENT MTU-SGLI RMK ON FILE.
20,GF,MASTER RECORD INDICATES SGLI PREVIOUSLY TERMINATED.
20,GG,"""INVALID JOIN ENTRY"
20,GH,MASTER RECORD INDICATES TRAUMATIC SGLI COVERAGE PREVIOUSLY TERMINATED.
20,GI,MASTER RECORD REFLECTS MEMBER IS NOT IN CORRECT PAY GROUP FOR A PORTION/ENTIRE PERIOD REPORTED.  SGLI COULD NOT PROCESS.
20,GJ,PARTIAL LOST LEAVE RESTORED.  VERIFY AND ADJUST ACCORDINGLY.
20,GK,REPORTED JOIN ENTRY VALID FOR IMA UNIT ONLY
20,GL,"""JOIN STATEMENT RPTD IS NOT COMPATIBLE W/RECORD STATUS"
20,GM,COMP CODE NOT ON TABLE 34.  PAY GROUP RMK NOT BUILT.  CONTACT MISSO.
20,GN,RET CREDIT DATA NOT CHANGED BY JOIN.  RUC 88889 MUST RESEARCH FOR POSSIBLE ADJUSTMENT.
20,GP,"""IF NECESSARY"
20,GQ,"""MBR IN A SUSP STATUS"
20,GR,EFFECTIVE DATE OF JOIN FROM ACTIVE DUTY MUST BE ONE DAY AFTER DATE DROPPED
20,GS,JOIN NOT PROCESSED. ACTIVE DUTY RUC MUST REPORT DROP FROM ACTIVE DUTY.
20,GT,INVALID JOIN ENTRY. PRESENT UNIT JOINED DATE ON MASTER RECORD IS GREATER THAN ACTION DATE.
20,GU,REPORTED JOIN ENTRY VALID FOR SMCR UNIT ONLY
20,GV,INVALID JOIN. MEMBER IS IN THE IMA
20,GW,"""INVALID JOIN ENTRY"
20,GX,REPORTED JOIN ENTRY VALID FOR SMCR UNIT ONLY. REENTER APPROPRIATE JOIN ENTRY
20,GY,SYSTEM COULD NOT DETERMINE PREVIOUS DUTY FOR MEMBER
20,DK,DATE OF BIRTH MUST BE REPORTED WITH THIS TRANSACTION.
20,DL,EDIPI MUST BE REPORTED WITH THIS TRANSACTION
20,DM,SEQUENCE ONLY VALID FOR NON-MARINE JOIN
20,DN,SEQUENCE NOT VALID FOR NON-MARINE JOIN
20,DP,ACTIVE DUTY UNIT MUST DROP NON-MARINE PRIOR TO RESERVE JOIN
20,LP,MEMBER HAS A PERIOD OF TIME LOST REPORTED. RETIREMENT DATE MAY NEED ADJUSTED.
20,LR,TRAINING CATEGORY PAY GROUP IS NOT COMPATIBLE WITH RESERVE JOIN BEING REPORTED.
20,NF,RETRO LV PERIOD RPTD PRIOR TO LSL PAYMENT. RESEARCH TO ENSURE LSL IS ACCURATE AND CORRECT IF REQUIRED.
20,NT,TRANSACTION FAILED - TRANSFER FROM MCRD MUST BE REPORTED PRIOR TO ALLOWING AJOIN TO PROCESS.
20,QA,CHANGE IN STATUS RPTD DURING A PERIOD ON THE PERSTEMPO RMK.  RESEARCH AND REPORT
20,QB,CURR ACDU BEGAN DATE IS ZEROS. REPORT CORRECTION (TTC 079).
20,QC,REPORTED PERIOD IS PRIOR TO CURRENT OCD. AUDIT AND ADJUST OCD AS REQUIRED.
20,QE,"""PERSTEMPO STOPPED DUE TO MBRS CHANGE OF STATUS. IF APPLICABLE"
20,QH,"""AFADBD WAS CALC BY THE SYS. IF ERRON"
20,QJ,MR INDICATES PERIOD OF TIME LOST. THE EFFECTIVE DATE OF ENTITLEMENT WAS ADJ ACCORDINGLY.
20,QK,ED PRIOR TO OLDEST TABLE EFFECTIVE DATE. ED HAS BEEN ADJUSTED TO DATE INDICATED.
20,QR,ZIP CODE FOR MCC WAS NOT VALID ON TABLE BB. SYSTEM GENERATED BAH PARTIAL.  BAH ADJUSTMENT MAY BE REQUIRED.
20,KA,VERIFY IF MBR IS STILL ENTITLED TO FSA-R. IF NO LONGER ENTITLED. TERMINATE FSA-R.
20,KB,AVIATION STUD JD YOUR CMD.  AVIATION SVC DATA NOT PRESENT IN MR.  RESEARCH AND CONTACT MMOA FOR ASSIST IF NECESSARY.
20,KC,BONUS NOT PAID.  COMPUTED SRB AMOUNT IS GREATER THAN THE COMMITTED AMOUNT.  CONTACT MMEA FOR GUIDANCE.
20,KE,RESERVE REPORTING UNIT CODE MUST EQUAL 88812 TO REPORT THIS TRANSACTION.
20,KF,INIT JOIN NOT PROCESSED. ACCESSION OR TRANSFER MUST BE REPORTED AND POST PRIOR TO INIT JOIN.
20,KJ,"""BONUS AMOUNT REDUCED.  MEMBER EXCEEDED CAREER MAXIMUM OF $200"
20,LA,BONUS NOT PAID. THE INPUT EFFECTIVE DATE IS LESS THAN OR EQUAL TO AN EXISTING 904 REMARK.
20,LB,BONUS NOT PAID. SRB/OPFOR AMOUNTS GREATER THAN FUNDS COMMITTED.  CONTACT HQMC (MMEA).
20,LC,BONUS NOT PAID. AUTHORIZED ZONE NOT COMPATIBLE WITH PREVIOUS BONUS ZONE.
20,LD,BONUS NOT PAID. AUTHORIZED ZONE EQUAL ZONE ON PREVIOUS BONUS.
20,LE,JOIN PROCESSED THAT LINKS TO PREVIOUS ACTIVE DUTY CAUSING NO ENTITLEMENT TO LSL.  REPORT DEL 506
20,CL,SCHOOL CODE DISCONTINUED OR DATES ARE INVALID. RESEARCH AND RESUBMIT.
20,CM,JOIN TRANSACTION DID NOT PROCESS. THE TRANSACTION SEQUENCE REPORTED IS INCOMPATIBLE W/INFORMATIOIN REFLECTED ON MBR'S RECORD.
20,CN,LAST NAME CADENCY CODE CONTAINS AN INVALID DATE OR IS NO LONGER REPORTABLE. RESEARCH TABLE 71 GROUP 25 ITEM 60 AND RESUBMIT.
20,CP,MR INDICATES MBR RECVD VSP AND HAS RTN TO ACDU. REF APSM FOR CORRECTIVE ACTIONS AS APPL.
20,CQ,JOIN PROCESSED THAT LINKS TO PREVIOUS ACTIVE DUTY CAUSING NO ENTITLEMENT TO LSL. REPORT DEL 506.
20,CR,MARINE POSSESSES A BASIC MOS BUT HAS NO VALID IMOS. REPORT IMOS IF APPLICABLE.
20,CS,MARINE POSSESSES A BASIC MOS AND AN IMOS. REPORT PRIMARY MOS IF APPLICABLE
20,CT,SNM HAS BEEN JOINED BY ANOTHER RUC.  CONTACT MISSO IF REQUIRED.
20,CU,TRANSACTION FAILED - TRANSFER FROM MCRD MUST BE REPORTED PRIOR TO ALLOWING A JOIN TO PROCESS
20,CW,MBRS CRCR CERT DTE IS BLANK.  RPT TTC 922 IMMEDIATELY.  THIS WILL GEN AN AFADBD.
20,CX,INIT JOIN NOT PROCESSED. ACCESSION OR TRANSFER MUST BE REPORTED AND POST PRIOR TO INIT JOIN
20,CY,MEMBER DOES NOT HAVE A DATE-ACCEPTED-FIRST-COMMISSION DATE. CONTACT MCRC
20,DA,RUC 54887 IS NOT AUTHORIZED TO REPORT JOINS ON MARINES AT THIS TIME.
20,DE,SCHOOL CODE DISCONTINUED OR DATES ARE INVALID.  RESEARCH AND RESUBMIT.
20,DF,REPORTED LAST NAME MUST BE ALPHABETIC AND CONTAIN NO SPECIAL CHARACTERS.
20,DG,REPORTED FIRST NAME MUST BE ALPHABETIC AND CONTAIN NO SPECIAL CHARACTERS.
20,DH,REPORTED MIDDLE NAME MUST START WITH ALPHABETIC CHARACTER.
20,DJ,REPORTED CADENCY CODE INVALID. RESEARCH TABLE 71 GROUP NMBR 25 ITEM NMBR 60 AND REPORT CORRECT CADENCY CODE.
20,I,VERIFY PRES GRADE. MUST BE OFFICER TO JOIN LAWYER RUC.
20,IA,REPORTING UNIT CODE INVALID - NOT FOUND ON CFM TABLE 01.
20,IB,"""MBR INVOL TR TO THE IRR"
20,IC,BONUS RMK ON FILE.  RMK MUST BE CLOSED UTILIZING TTC 901 OR 903 PRIOR TO REPORTING THIS TRANSACTION.
20,1,MTU JOIN ONLY VALID FOR MCRSC RUCS 88900 - 88909.
20,3,MTU JOIN ONLY VALID FOR TRAINING GROUP H.
20,5,MEMBER IS AWAITING JOIN FROM ACTIVE DUTY.
20,6,MASTER RECORD INDICATES TOTAL SAT YEARS LESS THAN 20.
20,7,MASTER RECORD INDICATES TOTAL SAT YEARS LESS THAN 15 OR GREATER THAN 19.
20,20,INVALID JOIN. MEMBER IS CURRENTLY IN IMA.
20,21,INVALID JOIN ENTRY - MASTER RECORD REFLECTS NOT A MEMBER OF IMA AS TRNGRP INDICATES.
20,22,INVALID JOIN ENTRY-NOT A MBR OF SMCR AS INDICATED BY RESERVE COMP CODE.
20,JA,BONUS NOT PAID.  MASTER RECORD REFLECTS MEMBER NOT ELIGIBLE OR QUALIFIED FOR 125% FLAT RATE BONUS.
20,JB,INVALID PAY GROUP COMPONENT CODE FOR THIS TYPE OF JOIN.
20,JC,MASTER RECORD INDICATES TOTAL SAT YEARS LESS THAN 15 OR GREATER THAN 19.
20,JD,MASTER RECORD INDICATES TOTAL SAT YEARS LESS THAN 20.
20,JE,REPORT PENSION STATUS IF NOT REPORTED WITH JOIN ENTRY.
20,JF,READY RESERVE AGREEMENT YEARS MUST BE 1 THRU 6
20,JI,MCC ON TABLE 01 IS ZEROS OR SPACES.  CHECK MCTFS CODES MANUAL AND CORRECT.
20,JJ,TRAINING CATEGORY PAY GROUP IS NOT COMPATIBLE WITH RESERVE JOIN BEING REPORTED.
20,JK,TABLE CONVERSION PROBLEM ON STATE CODE. CONTACT MISSO FOR ASSISTANCE.
20,JL,RMK 980 CANNOT BE UPDATED DUE TO PRIOR RESERVE SERVICE.  MANUAL REPORTING WILL BE REQUIRED.
20,JN,REPORTED RESERVE JOIN DATE IS PRIOR TO THE MEMBER'S RESERVE DRILL/ACDUTRNG/ABSENCE PERIOD CONTACT MISSO FOR ASSISTANCE.
20,H,TRANSACTION CAN ONLY BE INPUT BY RUC 88874.
20,HA,THE ENCODED RUC CAN NOT BE 45XXX OR 46XXX.
20,HB,RUC 54887/54888 IS NOT AUTHORIZED TO REPORT JOINS ON MARINES AT THIS TIME.
20,HC,REPORT TTC 170 WITH VALID RUC. JOIN POSTED USING TRANS-RUC. RPTD ASSIGNED RUC NOT VALID FOR TRANS-RUC.
20,HD,JOIN POSTED WITH PRIMARY MCC. REPORTED MCC NOT VALID FOR REPORTING RUC. CONTACT MISSO FOR ASSISTANCE.
20,HE,REPORTING UNIT CODE INVALID - NOT FOUND ON CFM TABLE 01.
20,HG,RECORD CONTAINS ADDITIONAL DUTY REMARK WITH FROM DATE PRIOR TO JOIN DATE.  DETERMINE CORRECTIVE ACTION.
20,HH,MR REFLECTS MARINE PARTICIPATING IN A CRISIS. REPORT STOP CRISIS TTC IF APPLICABLE.
20,HK,JOIN TO RESERVE WAS ATTEMPTED WITH ACTIVE DUTY SEQUENCE
20,HL,JOIN TO ACTIVE DUTY WAS ATTEMPTED WITH RESERVE SEQUENCE
20,HP,REPORTED ENCODED RUC IS NOT VALID ON TABLE 01. CONTACT MISSO IF ASSISTANCE REQUIRED.
20,HQ,INVALID JOIN ENTRY.  ACTION DATE CANNOT BE GREATER THAN CYCLE DATE.
20,HR,JOIN DATE CANNOT BE OLDER THAN 180 DAYS
20,HT,REPORTED RUC AND MCC COMBINATION HAS BEEN DEACTIVATED.  REFER TO MCTFS TABLE01 FROM AND TO DATES.
20,34,"""INVALID JOIN ENTRY"
20,35,"""INVALID JOIN ENTRY"
20,36,"""INVALID JOIN ENTRY"
20,37,"""INVALID JOIN ENTRY"
20,38,"""INVALID JOIN ENTRY"
20,42,"""INVALID JOIN ENTRY"
20,43,INVALID JOIN. MEMBER NOT IN CORRECT PAY STATUS FOR JOIN FROM ACTIVE DUTY.
20,45,MBR MUST HAVE CORRECT TRAINING GROUP AND/OR RESERVE COMPONENT CODE FOR THIS TYPE OF JOIN.
20,46,RESERVE RUC ON MASTER RECORD IS INCOMPATIBLE WITH THIS JOIN.
20,61,TRANS IS FOR JOINING MBRS FROM ONE SMCR UNIT TO ANOTHER SMCR UNIT-MUST BE RECSTAT 0 OR 3.
20,63,TABLE CONVERSION PROBLEM ON STATE CODE. CONTACT MISSO FOR ASSISTANCE.
20,71,NO RECORD ON MCTFS FILE. VERIFY JOIN STATEMENT AND SSN THEN RESUBMIT IF APPROPRIATE.
20,74,INVALID PRESGRD ON MASTER FILE. CONTACT MISSO FOR ASSISTANCE.
20,75,"""INVALID JOIN ENTRY"
20,76,JOIN NOT PROCESSED. SGLI RATE TABLE PROBLEM. LATEST TABLE EFF DTD XXXXXXXX. RESEARCH FOR POSSIBLE ADJUSTMENT.
20,93,INVALID DEL/ADD TRANS.  DELETE ED NOT EQUAL TO DATE JOINED.  RESUBMIT WITH CORRECT DEL ED.
20,94,"""ACTION DATE OF JOIN INVALID. CANNOT BE PRIOR TO MEMBERS PEBD"
20,99,"""DUPLICATE TRANSACTION"
20,IE,VERIFY JOIN ACTION.  JOINING RUC DOES NOT EQUAL FUTRUC ON MASTER RECORD.
20,IF,INVALID JOIN ENTRY. 'INIT JOIN IRR RECOM' ONLY VALID FOR OFFICERS.
20,IG,INVALID RUC FOR REPORTED INIT JOIN ENTRY. MUST BE INPUT BY RUC 88801
20,IH,TRANSACTION CAN ONLY BE INPUT BY RUC 88900 OR ARUC 46521.
20,IJ,TRANSACTION CAN ONLY BE INPUT BY RUC 88874
20,IK,VERIFY PRES GRADE. MUST BE OFFICER TO JOIN LAWYER RUC.
20,IP,OFFICERS CAN ONLY BE INITIALLY JOINED BY INIT JOIN IRR RECOM. RESUBMIT.
20,IQ,MEMBER IS AWAITING JOIN FROM ACTIVE DUTY
20,IR,"""INVALID JOIN ENTRY"
20,IV,REPORTED ACTION DATE DOES NOT EQUAL DATE OF ENLISTMENT CONTAINED IN MASTER RECORD.
20,IW,TRANSACTION FOR NAV ACAD/NROTC RUC 86974 ONLY
20,IX,"""NUMBER OF DRILLS REPORTED IS INVALID - MUST BE 00"
20,IY,TRANSACTION VALID FOR INPUT BY RUC 88870-88872
20,23,INVALID JOIN ENTRY REPORTED FOR MBR IN THE NATIONAL CALL TO SERVICE PROGRAM.  REPORT TTC 020 145.
20,25,INVALID JOIN ENTRY. PRESENT UNIT JOINED DATE ON MASTER RECORD IS GREATER THAN ACTION DATE.
20,26,INVALID JOIN ENTRY. MBR NOT CURRENTLY IN MTU.
20,2F,"""JOIN PROCESSED.  NO SELECTIVE REENLISTMENT BONUS 904 REMARK ON FILE"
20,2G,MEMBER ELGIBLE FOR SRB BONUS UPON COMPLETION OF MOS TRAINING.
20,30,"""INVALID JOIN ENTRY"
20,31,"""INVALID JOIN ENTRY"
20,32,"""INVALID JOIN ENTRY"
20,33,"""INVALID JOIN ENTRY"
20,A4,RECORD INDICATES MBR PAST ECC.  CURRENT PAY STATUS CODE NOT EQUAL 03220. REPORT TTC 460 TO UPDATE MBR'S RECORD AS APPLICABLE.
20,A6,"""THE BAH REMARK TO BE DELETED WAS NOT OPEN AND RUNNING"
20,AA,MBR JOINED FR UA. CHG NOT ACCEPTED. MBR IN UA STATUS.
20,AC,CHG-RUC DOES NOT MTCH MR-PRUC.RPTD ADD/DEL NOT POSTED.IF MBR STILL YOUR UNIT RPT ORIG JOIN.
20,AD,RECORD CONTAINS ADDITIONAL DUTY REMARK WITH FROM DATE PRIOR TO JOIN DATE.  DETERMINE CORRECTIVE ACTION.
20,AE,"""JOIN STATEMENT RPTD IS NOT COMPATIBLE W/RECORD STATUS"
20,AF,MR IN AN INACTIVE PAY STATUS. REPORT INITIAL JOIN.
20,AG,JOIN NOT PROCESSED. ACTIVE DUTY RUC MUST REPORT DROP FROM ACTIVE DUTY.
20,AH,INVALID PAY GROUP COMPONENT CODE FOR THIS TYPE OF JOIN.
20,AJ,TRANSACTION VALID FOR INPUT BY RUC 88870-88872.
20,AN,REPORT TTC 170 WITH VALID RUC. JOIN POSTED USING TRANS-RUC. RPTD ASSIGNED RUC NOT VALID OR NOT VALID FOR TRANS-RUC.
20,AO,JOIN POSTED WITH PRIMARY MCC. REPORTED MCC NOT VALID FOR REPORTING RUC. CONTACT MISSO FOR ASSISTANCE.
20,AP,JOIN NOT ACCEPTED.  RESUBMIT AS AN INIT JOIN IAW PRIUM.  COMPONENT CODE IS EQUAL TO CE.
20,AQ,"""RPTD MCC INVALID THIS RUC. CAN NOT DETERMINE A VALID MCC"
20,AR,"""IF NECESSARY"
20,AY,MBR ASSIGNED PPV.  995 RMK HAS BEEN UPDATED WITH THE JOIN TRANSACTION.  VERIFY AND CORRECT IF NECESSARY.
20,AZ,PPV HAS BEEN STOPPED.  ADJUSTMENTS/START MAY BE REQUIRED.
20,BA,PARTIAL BAH NOT COMMENCED BY PROC OF JOIN ENTRY.  REVIEW AND ADJUST IF NECESSARY.
20,BB,MBR IN AN INACTIVE PAY STATUS. REPORT INITIAL JOIN.
20,CF,"""INIT JOIN"
20,CG,"""INIT JOIN"
20,CH,"""VERIFY IF MBR IS STILL ENTITLED TO FSA-R. IF NO LONGER ENTITLED"
20,CJ,AVIATION STUD JD YOUR CMD.  AVIATION SVC DATA NOT PRESENT IN MR.  RESEARCH AND CONTACT MMOA FOR ASSIST IF NECESSARY.
20,CK,SYSTEM UNABLE TO CALCULATE BOOT LEAVE AND GENERATE AUTOMATED TTC 521 TRANSACTION. RESEARCH AND SUBMIT AS REQUIRED.
26,B,ENC FROM-DATE OR TO-DATE INVALID.  MUST BE YYYYMMDD FORMAT.  FROM-DATE MUST BE .LE. TO-DATE.
26,H,"""ENC DEPENDENT CODE INVALID. MUST BE B"
26,I,ENC GEOGRAPHIC LOCATION INVALID. BYTES 1-2 MUST BE ALPHA. BYTES 3-5 MUST BE NUMERIC.
26,K,"""MR DOESN'T REFLECT A COLA ENTITLEMENT FOR THE ENC DEPN CODE"
26,L,MUST REPORT START/STOP COLA TRANSACTION TO ADJUST.
27,AA,BYTE ONE OF REPORTED BIC MUST BE ALPHA.
27,AB,REPORTED BIC DOES NOT MATCH BIC ON MASTER FILE BEING DELETED.
27,AC,"""TRANSACTION VALID FOR HQMC (MMOA/MMEA/RAM/WEBMASS) RUCS 54813"
27,AD,"""RESERVE BIC MAY ONLY BE REPORTED USING THE INVENTORY DEVELOPMENT MANAGEMENT SYSTEM (IDMS)"
28,B,REPORTED LOCATION INVALID. FAILED TABLE EDIT.
28,F,REPORTED TIME INVALID/NOT NUMERIC OR EQUAL TO 2400.
28,GX,MBR MAY OR MAY NOT BE ENTITLED TO RESPITE ABSENCE DUE TO REPORTING RETRO DATA.
28,MA,REPORTED ED OVERLAPS PREVIOUS DEPLOY/MOBILIZED PERIOD ON D138 RMK. RESEARCH AND ADJUST IF NECESSARY.
28,MB,REPORTED ED PREVIOUS TO DEPLOY/MOBILIZED PERIOD ON D138 RMK. RESEARCH AND ADJUST IF NECESSARY.
28,MC,STOP PROCESSED PRIOR TO REACHING 120 REQUIREMENT FOR PDMRA PERIOD.
28,MD,INDIVIDUAL LOCATION REFLECTS RESERVE MEMBER STILL ASSIGNED OCONUS AND MAY STILL BE ENTITLED TO PDMRA.
29,AA,REPORTED REMARK CODE INVALID.  REFER TO MCTFS TABLE 59.
29,AC,NO MATCH FOUND. VERIFY AND RESUBMIT IF REQUIRED.
29,AB,REPORTED REMARK CODE REPORTABLE BY HQMC ONLY.
31,AA,REPORTED RUC NOT VALID.
31,AB,REPORTED STATEMENT CANNOT BE INPUT BY HQMC.
31,Q,MEMBER NOT IN A TAD STATUS CANNOT RPT ATTACH STMT.
31,P,MBR HAS NOT BEEN JOINED. CONTACT PARENT COMMAND.
31,O,MR INDICATES MBR IN DES/UA/IHCA STATUS. MUST RPT ATT FR DES/ATT RMC ENTRY.
31,NV,THE ENCODED RUC IS NOT VALID FOR THIS SSN.
31,NF,RETRO LV PERIOD RPTD PRIOR TO LSL PAYMENT. RESEARCH TO ENSURE LSL IS ACCURATE AND CORRECT IF REQUIRED.
31,N,"""CHG NOT ACCEPTED RPTD ATT/TEMP RUC IS EQUAL TO MR-FAP-RUC"
31,M,MR-INDICATES MBR IN DESERTION STATUS MUST RPT ATT FR DES ENTRY.
31,L,INVALID JURIS OR CMD-DPI. TRANSACTION NOT PROCESSED.
31,K,MR DOES NOT REFLECT MEMBER IS CURRENTLY IN A DES/UA/IHCA/IHFA STATUS.
31,J,REPORTED TIME AND DATE PRIOR TO TIME AND DATE ABSENCE COMMENCED.
31,I,MEMBER ALREADY IN ATTACHED STATUS IN ANOTHER RU AWAITING TERMINATION. RESUBMIT ENTRY.
31,HH,TRANSACTION NOT VALID FOR ACTIVE DUTY MEMBER.
31,H,MASTER RECORD UNIT RUC EQUAL TO REPORTED TEMPORARY RUC.
31,GJ,PARTIAL LOST LEAVE RESTORED.  VERIFY AND ADJUST ACCORDINGLY.
31,G,MASTER RECORD INDICATES REC STAT/RES REC STAT INCORRECT TO PROCESS ATTACHMENT.
31,FG,A TRANSACTION HAS POSTED WHICH AFFECTS LWAS. MEMBERS REQUESTED LWAS BEGIN DATE HAS BEEN CHANGED TO ZEROS.
31,F,REPORTED TIME INVALID MUST BE 0001 TO 2359.
31,DD,REPORT SCHOOL CODE MME FOR MARTIAL ARTS INSTRUCTOR COURSE.
31,CC,DESERTION STATUS TERMINATED WITH THE PROCESSING OF THIS TRANSACTION.
31,BV,INVALID ATTACH ENTRY.  ACTION DATE CANNOT BE GREATER THAN CYCLE DATE.
31,W,INVALID COMPONENT CODE FOR OTHER SERVICE MBR.
31,RS,INVALID RESERVE COMPONENT CODE FOR OTHER SERVICE MBR.
31,RR,THE ENCODED RUC CAN NOT BE 45XXX OR 46XXX.
31,QQ,IHCA/UA STATUS TERMINATED WITH THE PROCESSING OF THIS TRANSACTION.
